id,name,formatted_address,lat,lng,types,rating,user_rating_count,price_level
ChIJ6UjVLsVO0xQR2xYccACVQYM,Gazı Üniversitesi Merkez Kütüphanesi,"Emniyet, Gazi Ünv., 06560 Yenimahalle/Ankara, Türkiye",39.9415361,32.822198799999995,"[""library"", ""point_of_interest"", ""establishment""]",4.2,230.0,
ChIJ_XQQAUdO0xQR1yDFWAueITU,Toy Museum,"Emniyet İncitaşı Sok. Ankara Üniversitesi Beşevler 10. Yıl Yerleşkesi, Emniyet, 06560 Yenimahalle/Ankara, Türkiye",39.9386819,32.8279531,"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]",4.3,415.0,
ChIJ7SWwMpNO0xQRsHKUQg9ixT0,Ataturk Cultural Center,"Zübeyde Hanım, Kazım Karabekir Cad., 06070 Altındağ/Ankara, Türkiye",39.9435535,32.8405114,"[""cultural_center"", ""park"", ""point_of_interest"", ""establishment""]",4.4,1572.0,
ChIJ99Ed3PFO0xQRZx9MNC3omjk,Ankara Turkish Aviation Association Museum,"Gazi, Hipodrom Cd. No:2, 06560 Yenimahalle/Ankara, Türkiye",39.9385626,32.8421152,"[""museum"", ""point_of_interest"", ""establishment""]",4.3,473.0,
ChIJGzdgsehO0xQRrtH6F8u6Lq0,MKEK Sanayi ve Teknoloji Müzesi,"Emniyet, No:2, 06560 Yenimahalle/Ankara, Türkiye",39.9374143,32.8362985,"[""museum"", ""point_of_interest"", ""establishment""]",4.5,223.0,
ChIJQ1SOxWFO0xQRU9MYRfTLmwY,Museum of the War of Independence,"Hacı Bayram, Cumhuriyet Cd. No: 2/1, 06050 Altındağ/Ankara, Türkiye",39.9418394,32.8536242,"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]",4.9,5331.0,
ChIJoy3tx9BP0xQRLEwHfrDalcw,Türkiye İş Bankası İktisadi Bağımsızlık Müzesi,"Ulus, Çam Sk. No: 3, 06050 Altındağ/Ankara, Türkiye",39.9427619,32.8548669,"[""museum"", ""event_venue"", ""point_of_interest"", ""establishment""]",4.9,753.0,
ChIJVWVakmdO0xQRnEaxWENl_IU,Erimtan Archaeology and Art Museum,"Kale, Gözcü Sk. No:10, 06240 Altındağ/Ankara, Türkiye",39.9378624,32.8629962,"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]",4.5,1526.0,
ChIJ4w12PGdO0xQRy-cZwvXq-vI,St. Theresa's Catholic Church,"Kale, Kardeşler Sk. No:15, 06250 Altındağ/Ankara, Türkiye",39.939693,32.8616062,"[""historical_landmark"", ""historical_place"", ""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]",4.5,446.0,
ChIJSfDZ7WNO0xQRO72uv7Fq0rs,Temple of Augustus,"Hacı Bayram, 06030 Altındağ/Ankara, Türkiye",39.9441182,32.8582255,"[""historical_place"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.4,563.0,
ChIJfVMVfWtO0xQR0Ll2HK2lp84,Art Street,"Şükriye, Yönü Sk. No:87, 06230 Altındağ/Ankara, Türkiye",39.9383943,32.8739066,"[""art_gallery"", ""point_of_interest"", ""establishment""]",4.7,158.0,
ChIJlf01MOtN0xQRFoOIrQemVj8,Feza Gürsey Science Centre,"Aydınlıkevler, Şht. Ömer Halisdemir Blv No:154, 06140 Altındağ/Ankara, Türkiye",39.9683767,32.8798395,"[""museum"", ""point_of_interest"", ""establishment""]",4.4,490.0,
ChIJp1frBPpN0xQR3UxPAJKRGeo,Fakülte Kütüphane Etlik,"Emrah, Gen. Dr. Tevfik Sağlam Cd No: 62/5 D:G, 06010 Keçiören/Ankara, Türkiye",39.971666,32.843319,"[""library"", ""point_of_interest"", ""establishment""]",4.9,140.0,
ChIJ0U3Ce69N0xQRdY-CI830FWc,Fatih Library,"Tepebaşı, Fatih Cd. 110/A, 06280 Keçiören/Ankara, Türkiye",39.985447,32.8645522,"[""library"", ""point_of_interest"", ""establishment""]",3.7,171.0,
ChIJMWvKN_w50xQRO0KKyZ1Hsq8,Türk Tarih Müzesi ve Parkı,"Bağlıca, Kızılelma Caddesi No:1, 06790 Etimesgut/Ankara, Türkiye",39.9030787,32.64035500000001,"[""sculpture"", ""museum"", ""park"", ""point_of_interest"", ""establishment""]",4.8,2425.0,
ChIJYxDfpuA50xQR3PQ5U_slKRM,Etimesgut Belediyesi Halk Kütüphanesi,"Ahi Mesut, 06794 Etimesgut/Ankara, Türkiye",39.9402939,32.6304906,"[""library"", ""point_of_interest"", ""establishment""]",3.3,159.0,
ChIJMYvJY7s30xQRVMTbh6DyAGA,Hava Lojmanı Komutanlığı Kütüphanesi,"Erler, Dumlupınar Bulvarı Serpmeleri No:64, 06790, 06790 Etimesgut/Ankara, Türkiye",39.9424031,32.6844898,"[""library"", ""point_of_interest"", ""establishment""]",4.5,111.0,
ChIJYT3lPN0w0xQRfL2s7SbWTT8,Sincan Ilce Halk Kutuphanesi,"Mareşal Çakmak, Oğuz Yılmaz Cd. No: 23, 06936 Sincan/Ankara, Türkiye",39.9583894,32.5845761,"[""library"", ""point_of_interest"", ""establishment""]",4.0,248.0,
ChIJYW0c7Zw70xQRoi_uvhlonO0,Fakülte Kütüphane Sincan,"Ahi Evran, Ayaş Cd. 27/4, 06100 Sincan/Ankara, Türkiye",39.9710123,32.5797741,"[""library"", ""point_of_interest"", ""establishment""]",4.8,114.0,
ChIJJdIvfLYx0xQRQzOEUVlDdYo,Faculty Library Eryaman,"Rada Park Avm, Eryaman, 271. Cd No: 3 İç Kapı No: 25, 06824 Etimesgut/Ankara, Türkiye",39.978832,32.6266766,"[""library"", ""point_of_interest"", ""establishment""]",3.8,131.0,
ChIJOf0Gkxc30xQRo6n0GW_I764,ATATÜRK MÜZESİ VE OKUMA EVİ,"Şehit Osman Avcı, 06820 Etimesgut/Ankara, Türkiye",39.9758941,32.6524278,"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]",4.7,185.0,
ChIJS4EG_pE30xQRtlxSIAUn1j0,4K Vip Akademi,"Yeni Batı Mahallesi Şehit Kaymakam Muhammet Fatih Safitürk Bulvarı No:84, Yeni Batı, 06370 Yenimahalle/Ankara, Türkiye",39.9824998,32.689688499999995,"[""library"", ""point_of_interest"", ""establishment""]",5.0,137.0,
ChIJ0wZMGoEw0xQRTzXNLwLgC5I,Mathematics Museum - Sincan Municipality,"Fatih, Çalkın Cd. NO:4, 06936 Sincan/Ankara, Türkiye",39.9852043,32.5837175,"[""museum"", ""point_of_interest"", ""establishment""]",4.2,101.0,
ChIJcY5gZmJO0xQRs7tMopOZzQo,Roman Baths and Open Air Museum,"Hacı Bayram, Çankırı Cd. No:43, 06050 Altındağ/Ankara, Türkiye",39.9464896,32.853223,"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]",4.3,1094.0,
ChIJe-R9TN9T0xQRpQsL8wdXKSo,Altındağ Belediyesi Karapürçek Mahalle Kütüphanesi,"Karapürçek, 406. Cadde No:12/1, 06165 Altındağ/Ankara, Türkiye",39.9723652,32.9662605,"[""library"", ""point_of_interest"", ""establishment""]",4.2,110.0,
ChIJSUtsaKxP0xQRdMQOgnjnRfA,Kocatepe Mosque,"Kültür, Dr. Mediha Eldem Sk. No:67, 06420 Çankaya/Ankara, Türkiye",39.9166089,32.860706199999996,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.8,13801,
ChIJzR-qmDxP0xQRSiD5Laq79c0,Hacı Bayram-ı Veli Tomb,"Hacı Bayram, Şht. Keskin Sk. No:7, 06050 Altındağ/Ankara, Türkiye",39.9442341,32.857899599999996,"[""historical_landmark"", ""historical_place"", ""point_of_interest"", ""establishment""]",4.8,8652,
ChIJAzmc1ixG0xQRCgpLJ2C9wR8,Ahmet Hamdi Akseki Mosque,"Üniversiteler, Dumlupınar Blv. No:153, 06800 Çankaya/Ankara, Türkiye",39.906594299999995,32.7630918,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.8,3718,
ChIJK04VM5pL0xQRH88GU_thbws,Ahmet Efendi Mosque,"Çiğdemtepe, 06210 Yenimahalle/Ankara, Türkiye",40.0080694,32.792739399999995,"[""mosque"", ""place_of_worship"", ""association_or_organization"", ""point_of_interest"", ""establishment""]",4.6,2377,
