table_name,place_id,primary_photo_name
bars_nightclubs_places,ChIJBfjHONo50xQRsb_wX7TvF1k,places/ChIJBfjHONo50xQRsb_wX7TvF1k/photos/AU_ZVEFrLXWtw9FKrA9Fqg8InUlmvz-Xl8udGxd6ksx9qNynAol0wg6QU3iZSHqLWzWlTA8QSi9W-zjb4xTDbjETEI9zqq96Za5p4hn2jx-qjrGeAbsU3WGRRd6pwL6ykDJKMvJkz9ac1xDIHCThVmpW2H8ysNuD0maGGQ32sxLv8phNEitnAhGFFBhqTMCNMK0V0YV0NsQ7EIsVlPozmT0_-eieGx8IM5G2ndu4Kj5wboDR3BtJ6feALoiYtn7GBXMXhUnDuJIdACopAiWkhlqTaU9AnY3yP613Dj7G7qZOYFjrFA
bars_nightclubs_places,ChIJCRrU75VP0xQRHsN1ugmGu9A,places/ChIJCRrU75VP0xQRHsN1ugmGu9A/photos/AU_ZVEFguKwR4f7RWvGdlI4wfB2jn8VIlFOBIxQaYdpttz6yTX1t0beYF2NwZzbcGIs9CdNXiuvvl8QyQViAkRnUSXexhYXWnNXExTywdePTn3UYP5gZIvgcVnGydEByQRqjswsHw3Lhmb1OIMGwj5-tJsHZ_Ok82Nc6TXoRXvWMe8cZ1HINfvgns5Z2CpM9LDsGiWci1ShlJXSfNrs6HUvDNTXaOL-fMjufoPejFshmanKOyxgrT089WkRchMT7kjIKj9hPBjyPP31hbiEp7jqXQHpZFwIotQ_1TXgx36aOyY7FWMRmq0M9_WfSg8_P9tnNSoRvD98v6jGnpP2DilAPOQqWzhPjN8iMWFK7WcrZ590TBcy8P66CVrNxEccv_q5GwVyDHtV8BqYIRMgVLQCGZ6YhVv1j5q24kd81UHe6BTx92C3o
bars_nightclubs_places,ChIJCYr5yc450xQR7uWQpd_dGpo,places/ChIJCYr5yc450xQR7uWQpd_dGpo/photos/AU_ZVEHVINfSYPlU-UuocX6q_odwF4boM_jCaFdd1RB2YJXXAlXdg7V6t1VmMCaA9nMgzf6t-IEhrU3IYUgPTmU-dgzK08WRUQ4_ICnZNqjP7TV0KDnv9pe-nxdsN2bxO7ykFcIa3mB9RPf4NHas5lkxouAaoQz1vZmxddJ2r_zaHqtOkAecKigLyaiMExagQPfZ93jHk-D3j58tP1P6TRghDlzsX0G_qV6JCh4e8848rBWAw-d8R1SeOEWz2wGVT9UcBeJg_tldZsLhKxpgYMQE7lbg1AzJv7ocjnjHIK9KsojY7g
bars_nightclubs_places,ChIJD0eVNKJP0xQR5FPJuS6ef1s,places/ChIJD0eVNKJP0xQR5FPJuS6ef1s/photos/AU_ZVEGk24De86e4h65qHE0XciXC16Sffm8YdpS_tEFWCogr3avkGPSlp9qw7AHi409tCdrkxQzlprDlIQTXRsLmCuSOj4jcieH98M6YZ893CuPzR77-DAm_WCebCTfXLlT1Zea62qSMQ97QIPz99-AO2CMM1_kgM1y-bKz4oePfcl4Ytid9nGQJQsslfIek6WeuFhvdQzNL59mXXa3OsYkdxV8vjT98cBXizxlX9HGk0uayFZaQoIdZTt4d-dHTm8_kpES5uXBzwQdUbg2LzKuKHaNZU448wd55A2KwtLN33SyMgA
bars_nightclubs_places,ChIJE-GMwNg50xQRyncsrlOwwBc,places/ChIJE-GMwNg50xQRyncsrlOwwBc/photos/AU_ZVEFrIXX33v6JeNjXZ3J9lZOEyQiB5rTIu6hfVcMf59euz510N4Bj-eaG9SbJbtHQd-DMaGMQaso1qC3lZARCn_bE2RqkYUbAIruOWI2ewJP0yv2n5qdSwNBR-O7pO6wM_ONgewPtcS4ftWUlXnwclazBSyLzQzaawrjqdSnmOe2RpIgABOXZMh6QR42DeSMdreFqCeyDeZv0BJ94n5EWIS9RQ_XU841iIDhV5ZxhRgWqECpykC10a0BGPBB4oefNVElifxxlv2tz-JttJT5_hifszM47JlPOJNR3ojwrGDvXksf03UxzayYBOPfJt5yxl8rBuSXyWOWSQTaNChyLm_-AV34p6-bLthtW02Jaa2fXt6aEvI8U6WGzPQFMXuKhAFGr-bzMI4mCO76d14K3ax3wQxM-IUT7hcRtD8wooTQlec1-KPoVWt5D5yoO2u4k
bars_nightclubs_places,ChIJERRa-YdP0xQR_NDwDeFM6IA,places/ChIJERRa-YdP0xQR_NDwDeFM6IA/photos/AU_ZVEGLUCMNS0o90mvHeZPEGfamWrgHLAG9LmlizqF3CHIsDap3dpf74lWbjyciO79-zvK9V8IIqLtUM7nnupAUVc3QkeqZICVZCEtVy29Tk-qwKTEgfAj-FgQwHl-pxOhIQs2jsA-xKpi91MtWUsrWd1desHd3gxYlb6woa5KkrmCPRpI3dLgRdyWsLagWKPtAd4qqK7Ma9feyqCvSgthOGZfGaWiYs4_sglXQE-D55c389mh8vD2PY8wACRxEZ1lYTq-OYfR8M9w5ut6-Dwo20d_Hc2mQc8Ue_cN1ArPmH_GdMA
bars_nightclubs_places,ChIJEaDD-bQ30xQRo-PRx-OsSKE,places/ChIJEaDD-bQ30xQRo-PRx-OsSKE/photos/AU_ZVEGPM_8s3ye2OurO3oE2hjD8FIGcJPLyN-9ozBZ05P1-NVTsImraqq5WNfvCOGasR89rEMlm09xm2DKuwEEWgnp8rrcRFEfVJs3PSW_jj3lyMefm8w87YaE-j_GYu9negnkPcFF5VFiYtSpKGVgTrcid6r31OHhsfA9FtI6bQyX2HFaG5MC17oSePuklRdN5o72WGPU6WgJKQLdH9fyD2NPnpGBvfirTzO5uqUZEkGjfjy1EAlMePlsjFoGfr99nOKfBdXGHzPAS7gJ6Ddzzj45Sj6-9T59xFw3ekogNlTwkCg
bars_nightclubs_places,ChIJEdhm_KhP0xQR7X83C59Tszc,places/ChIJEdhm_KhP0xQR7X83C59Tszc/photos/AU_ZVEHV2H28f_a_RVZcZzyETVaXVP_XNsmZlJwbVXD0Sh5EuC8u-5FPwWv_mHP77np1l1xGVIzc3rKypzkc4FyRRwun-kXv8sijUcwZ_UR8nABW97jrUPg346p_MgaBwu3EehEoq694KRbn2TE40euJVhnwOwv1lG42Zlaq_QJhOoJMB7jj5va-_Zj374h6ERHJqJUcsQJbYsT0ShrPnfKaRu8hGHLwGHhZcIhb1hB2V8BCCStYP7Ns8o7f7xJaV4J6uLzAPHgo13hSebcskMMidt1bfjN2_gsy6uzpJRKzUHaluA
bars_nightclubs_places,ChIJF6z-6AY30xQRrFRbFBBu9nA,places/ChIJF6z-6AY30xQRrFRbFBBu9nA/photos/AU_ZVEHX7zPN3gELALQaLNbyfiyf6DWhUwfBCdalIzdEIAR_zRKviXhFAU1GbB7QX6sAgny6zRDXXe-JlcTIh4Wjn5c-vbCRBcEPgSLYb3qvcAJ3hZfhnjf8-9M1w3M7s5IPIoSK-N5nWJKyRW-fXVjUBevlRZr-btaH8JRJPLyvcLl-YgIgUzJqPQp3mBbuZh52uW7y9ri_4JbFxFso-3Au4Wwg4-EayziiVBMtn2g1t3XESvXJg4Ox29L-NQ-urS-iTq2H92Dtjk5jPr3NC1_BkN4LE5_fNXZlLOtkm3AOUsTyVQ
bars_nightclubs_places,ChIJFRsjRW060xQRkRjbg2KEbZs,places/ChIJFRsjRW060xQRkRjbg2KEbZs/photos/AU_ZVEFY7O8i77c63dhF0ciEqJzpBR0mOYgLlve7pqEmH0v1xLf14e53OV4eL8h-0FsOZxxouCCyahFzeNBf6dR30lluANLc6xDk3_BvJhKkmYw-fT81SiHxT8WX-wITGa1z8xIbeuXifQoo2d_waPpjyUtFyZursIU3U2n6LwepHHmmSIEPKnplQISxJarK1vJuqgLkoOBOSNPG8VIPXDP28x9id2aQgtpqP-u8jhIsrbG1ZDJ2XuUJBIt9Bf3T8ZedSWYvZ-TdhIpWYuylHY8vVc7IXdvngT69ZQGbNnyZtDYzVw
bars_nightclubs_places,ChIJG0uk-w1G0xQRvObfY5t3sCY,places/ChIJG0uk-w1G0xQRvObfY5t3sCY/photos/AU_ZVEGBlAd-3Mg2zPEqOOk_GuEO9n4NR06lz1uKv_Rgf6tJMcM8fgcLUnopPDfK1z8frfRDuyLuk0BRjyQYXbm4hjFmMZhHBAQyiDYq2ZYvCy_kQ9bwSJr2M-Sx1B5qyh0Topb3pcQ5psxILxr4vGUsbdLNtoX0RtUow1NMvyt7dV2qKR27NMQUDcEUzthF97ic1httrK056EufK9zvLONFjPbX6CfkMEMMrtZeuxMaR9VmKaX1o9kYMz07e-zCgzFo9fSptBlMnxgnDKUET1y82CPBnv4Ip5PsrLMSwzPzMX71txLyHfBaXbSQgL8bwRwt7uly3TvC6p3CH8xogZvzb1H3bTORIqFJ_-1iAN4YLZHqzy-bdAxG2agbPrkMm4tSz5cKBIYmoKhQb4QoZEVp87YJ_8aMXU63c0Ss4llthTs
