id,name,formatted_address,lat,lng,types,rating,user_rating_count
ChIJjU4BYQh30xQRD9ImZ1XF2C0,Altunkaya Garden,"Mahmatlıbahçe, Küme evleri caddesi no 304, 06450 Gölbaşı/Ankara, Türkiye",39.507962899999995,32.8389024,"[""general_contractor"", ""point_of_interest"", ""establishment""]",5,2
ChIJyZbRiYd20xQRsX3TbJsKy_A,Tepebaşı,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.49006,32.81782,"[""bus_stop"", ""transit_station"", ""point_of_interest"", ""establishment""]",,
ChIJ9XK05sx30xQRMYuI3YhsImg,Kavuncu,"Selametli Şehit Emrah, 06830 Gölbaşı/Ankara, Türkiye",39.4910717,32.8133805,"[""point_of_interest"", ""establishment""]",5,1
ChIJsdx61j130xQRVEj3P3ItvD8,Özcan Dinlenme Tesisleri,"Bezirhane, Ankara Konya Yolu, 06830 Gölbaşı/Ankara, Türkiye",39.4938217,32.8699017,"[""rest_stop"", ""point_of_interest"", ""establishment""]",4.2,183
ChIJr5HWfz530xQRUFwp68yu0Nw,Sunpet,"Bezirhane, Ankara Konya Yolu 53. Km D:53. Km, 06830 Gölbaşı/Ankara, Türkiye",39.4938217,32.8705573,"[""gas_station"", ""point_of_interest"", ""establishment""]",3.6,31
ChIJm8aUPQB30xQR5P_toMqNpHs,GEL-GÖR Lokantası,"Bezirhane, 06830 Gölbaşı/Ankara, Türkiye",39.4941153,32.8703783,"[""turkish_restaurant"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",4.2,30
ChIJV96UwzZ30xQRCFX_jOugP_I,Starpet-bediroğlu Petrol,"Bezirhane, 06830 Gölbaşı/Ankara, Türkiye",39.5036566,32.87179,"[""gas_station"", ""point_of_interest"", ""establishment""]",4,31
ChIJT6fqBhR30xQRadPJhf_wekw,ELVAN YAPI MARKET / HAZIR BETON,"Bezirhane, Serpme küme evleri 11\A, 06830 Gölbaşı/Ankara, Türkiye",39.4873141,32.870933199999996,"[""general_contractor"", ""point_of_interest"", ""establishment""]",4.6,29
ChIJIRqI1T130xQRlUxSrsVtbQA,AYGAZ,"Bezirhane, Ankara Konya Yolu 53. Km, 06830 Gölbaşı/Ankara, Türkiye",39.493943,32.870284,"[""point_of_interest"", ""establishment""]",3.3,14
ChIJnbtf3TZ30xQR9A1428xE_R8,Seypet,"Bezirhane, 06830 Gölbaşı/Ankara, Türkiye",39.5036343,32.8719731,"[""gas_station"", ""point_of_interest"", ""establishment""]",3.9,17
ChIJ84uVshZ30xQRFaSg4FCw0go,Termo-özdemir Petrol,"Bezirhane, Ankara Konya Yolu No:33, 06830 Gölbaşı/Ankara, Türkiye",39.487559999999995,32.869715,"[""gas_station"", ""point_of_interest"", ""establishment""]",4.5,11
ChIJyarjQQJ30xQRGT7-GI6MICo,Bezirhane MEZARLIĞI,"Bezirhane mah Mezarlığı, Bezirhane, 06830 Gölbaşı/Ankara, Türkiye",39.4842904,32.8549965,"[""cemetery"", ""point_of_interest"", ""establishment""]",,
ChIJVbyL2zZ30xQR9oSucZqCZsg,Oto Lastik,"Bezirhane, Ankara Konya Yolu, 06830 Gölbaşı/Ankara, Türkiye",39.503493,32.871533899999996,"[""auto_parts_store"", ""car_repair"", ""store"", ""point_of_interest"", ""establishment""]",5,2
ChIJs7mf0RZ30xQR835M1MfHmTM,Uzumer Oto Lastik,"No:18/A, Bezirhane, Ankara Konya Yolu, 06830 Gölbaşı/Ankara, Türkiye",39.48832,32.868207999999996,"[""auto_parts_store"", ""car_repair"", ""store"", ""point_of_interest"", ""establishment""]",4.2,5
ChIJJfkLTAB30xQRTw9tF8V8Uvo,Bereket Farm,"Bezirhane, FVM5+VX, 06830 Gölbaşı/Ankara, Türkiye",39.4840526,32.8593158,"[""garden"", ""park"", ""point_of_interest"", ""establishment""]",,
